010101 N- ----NSF- N-NSF Βίβλος Βίβλος βίβλος βίβλος
010101 N- ----GSF- N-GSF γενέσεως γενέσεως γενέσεως γένεσις
010101 N- ----GSM- N-GSM Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
010101 N- ----GSM- N-GSM χριστοῦ χριστοῦ Χριστοῦ Χριστός
010101 N- ----GSM- N-GSM υἱοῦ υἱοῦ υἱοῦ υἱός
010101 N- ----GSM- N-PRI Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010101 N- ----GSM- N-GSM υἱοῦ υἱοῦ υἱοῦ υἱός
010101 N- ----GSM- N-PRI Ἀβραάμ. Ἀβραάμ Ἀβραάμ Ἀβραάμ
010102 N- ----NSM- N-PRI Ἀβραὰμ Ἀβραὰμ Ἀβραάμ Ἀβραάμ
010102 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010102 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010102 N- ----ASM- N-PRI Ἰσαάκ, Ἰσαάκ Ἰσαάκ Ἰσαάκ
010102 N- ----NSM- N-PRI Ἰσαὰκ Ἰσαὰκ Ἰσαάκ Ἰσαάκ
010102 C- -------- CONJ δὲ δὲ δέ δέ
010102 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010102 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010102 N- ----ASM- N-PRI Ἰακώβ, Ἰακώβ Ἰακώβ Ἰακώβ
010102 N- ----NSM- N-PRI Ἰακὼβ Ἰακὼβ Ἰακώβ Ἰακώβ
010102 C- -------- CONJ δὲ δὲ δέ δέ
010102 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010102 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010102 N- ----ASM- N-ASM Ἰούδαν Ἰούδαν Ἰούδαν Ἰούδας
010102 C- -------- CONJ καὶ καὶ καί καί
010102 RA ----APM- T-APM τοὺς τοὺς τούς ὁ
010102 N- ----APM- N-APM ἀδελφοὺς ἀδελφοὺς ἀδελφούς ἀδελφός
010102 RP ----GSM- P-GSM αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
010103 N- ----NSM- N-NSM Ἰούδας Ἰούδας Ἰούδας Ἰούδας
010103 C- -------- CONJ δὲ δὲ δέ δέ
010103 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010103 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010103 N- ----ASM- N-PRI Φαρὲς Φαρὲς Φαρές Φαρές
010103 C- -------- CONJ καὶ καὶ καί καί
010103 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010103 N- ----ASM- N-PRI Ζάρα Ζάρα Ζάρα Ζάρα
010103 P- -------- PREP ἐκ ἐκ ἐκ ἐκ
010103 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010103 N- ----GSF- N-PRI Θαμάρ, Θαμάρ Θαμάρ Θαμάρ
010103 N- ----NSM- N-PRI Φαρὲς Φαρὲς Φαρές Φαρές
010103 C- -------- CONJ δὲ δὲ δέ δέ
010103 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010103 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010103 N- ----ASM- N-PRI Ἑσρώμ, Ἑσρώμ Ἑσρώμ Ἑσρώμ
010103 N- ----NSM- N-PRI Ἑσρὼμ Ἑσρὼμ Ἑσρώμ Ἑσρώμ
010103 C- -------- CONJ δὲ δὲ δέ δέ
010103 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010103 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010103 N- ----ASM- N-PRI Ἀράμ, Ἀράμ Ἀράμ Ἀράμ
010104 N- ----NSM- N-PRI Ἀρὰμ Ἀρὰμ Ἀράμ Ἀράμ
010104 C- -------- CONJ δὲ δὲ δέ δέ
010104 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010104 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010104 N- ----ASM- N-PRI Ἀμιναδάβ, Ἀμιναδάβ Ἀμιναδάβ Ἀμιναδάβ
010104 N- ----NSM- N-PRI Ἀμιναδὰβ Ἀμιναδὰβ Ἀμιναδάβ Ἀμιναδάβ
010104 C- -------- CONJ δὲ δὲ δέ δέ
010104 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010104 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010104 N- ----ASM- N-PRI Ναασσών, Ναασσών Ναασσών Ναασσών
010104 N- ----NSM- N-PRI Ναασσὼν Ναασσὼν Ναασσών Ναασσών
010104 C- -------- CONJ δὲ δὲ δέ δέ
010104 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010104 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010104 N- ----ASM- N-PRI Σαλμών, Σαλμών Σαλμών Σαλμών
010105 N- ----NSM- N-PRI Σαλμὼν Σαλμὼν Σαλμών Σαλμών
010105 C- -------- CONJ δὲ δὲ δέ δέ
010105 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010105 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010105 N- ----ASM- N-PRI ⸂Βόες Βόες Βόες Βόες
010105 P- -------- PREP ἐκ ἐκ ἐκ ἐκ
010105 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010105 N- ----GSF- N-PRI Ῥαχάβ, Ῥαχάβ Ῥαχάβ Ῥαχάβ
010105 N- ----NSM- N-PRI Βόες⸃ Βόες Βόες Βόες
010105 C- -------- CONJ δὲ δὲ δέ δέ
010105 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010105 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010105 N- ----ASM- N-PRI ⸂Ἰωβὴδ Ἰωβὴδ Ἰωβήδ Ἰωβήδ
010105 P- -------- PREP ἐκ ἐκ ἐκ ἐκ
010105 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010105 N- ----GSF- N-PRI Ῥούθ, Ῥούθ Ῥούθ Ῥούθ
010105 N- ----NSM- N-PRI Ἰωβὴδ⸃ Ἰωβὴδ Ἰωβήδ Ἰωβήδ
010105 C- -------- CONJ δὲ δὲ δέ δέ
010105 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010105 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010105 N- ----ASM- N-PRI Ἰεσσαί, Ἰεσσαί Ἰεσσαί Ἰεσσαί
010106 N- ----NSM- N-PRI Ἰεσσαὶ Ἰεσσαὶ Ἰεσσαί Ἰεσσαί
010106 C- -------- CONJ δὲ δὲ δέ δέ
010106 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010106 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010106 N- ----ASM- N-PRI Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010106 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010106 N- ----ASM- N-ASM βασιλέα. βασιλέα βασιλέα βασιλεύς
010106 N- ----NSM- N-PRI Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010106 C- -------- CONJ ⸀δὲ δὲ δέ δέ
010106 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010106 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010106 N- ----ASM- N-ASM Σολομῶνα Σολομῶνα Σολομῶνα Σολομών
010106 P- -------- PREP ἐκ ἐκ ἐκ ἐκ
010106 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010106 RA ----GSM- T-GSM τοῦ τοῦ τοῦ ὁ
010106 N- ----GSM- N-GSM Οὐρίου, Οὐρίου Οὐρίου Οὐρίας
010107 N- ----NSM- N-NSM Σολομὼν Σολομὼν Σολομών Σολομών
010107 C- -------- CONJ δὲ δὲ δέ δέ
010107 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010107 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010107 N- ----ASM- N-PRI Ῥοβοάμ, Ῥοβοάμ Ῥοβοάμ Ῥοβοάμ
010107 N- ----NSM- N-PRI Ῥοβοὰμ Ῥοβοὰμ Ῥοβοάμ Ῥοβοάμ
010107 C- -------- CONJ δὲ δὲ δέ δέ
010107 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010107 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010107 N- ----ASM- N-PRI Ἀβιά, Ἀβιά Ἀβιά Ἀβιά
010107 N- ----NSM- N-PRI Ἀβιὰ Ἀβιὰ Ἀβιά Ἀβιά
010107 C- -------- CONJ δὲ δὲ δέ δέ
010107 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010107 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010107 N- ----ASM- N-PRI ⸂Ἀσάφ, Ἀσάφ Ἀσάφ Ἀσάφ
010108 N- ----NSM- N-PRI Ἀσὰφ⸃ Ἀσὰφ Ἀσάφ Ἀσάφ
010108 C- -------- CONJ δὲ δὲ δέ δέ
010108 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010108 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010108 N- ----ASM- N-PRI Ἰωσαφάτ, Ἰωσαφάτ Ἰωσαφάτ Ἰωσαφάτ
010108 N- ----NSM- N-PRI Ἰωσαφὰτ Ἰωσαφὰτ Ἰωσαφάτ Ἰωσαφάτ
010108 C- -------- CONJ δὲ δὲ δέ δέ
010108 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010108 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010108 N- ----ASM- N-PRI Ἰωράμ, Ἰωράμ Ἰωράμ Ἰωράμ
010108 N- ----NSM- N-PRI Ἰωρὰμ Ἰωρὰμ Ἰωράμ Ἰωράμ
010108 C- -------- CONJ δὲ δὲ δέ δέ
010108 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010108 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010108 N- ----ASM- N-ASM Ὀζίαν, Ὀζίαν Ὀζίαν Ὀζίας
010109 N- ----NSM- N-NSM Ὀζίας Ὀζίας Ὀζίας Ὀζίας
010109 C- -------- CONJ δὲ δὲ δέ δέ
010109 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010109 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010109 N- ----ASM- N-PRI Ἰωαθάμ, Ἰωαθάμ Ἰωαθάμ Ἰωαθάμ
010109 N- ----NSM- N-PRI Ἰωαθὰμ Ἰωαθὰμ Ἰωαθάμ Ἰωαθάμ
010109 C- -------- CONJ δὲ δὲ δέ δέ
010109 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010109 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010109 N- ----ASM- N-PRI Ἀχάζ, Ἀχάζ Ἀχάζ Ἀχάζ
010109 N- ----NSM- N-PRI Ἀχὰζ Ἀχὰζ Ἀχάζ Ἀχάζ
010109 C- -------- CONJ δὲ δὲ δέ δέ
010109 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010109 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010109 N- ----ASM- N-ASM Ἑζεκίαν, Ἑζεκίαν Ἑζεκίαν Ἑζεκίας
010110 N- ----NSM- N-NSM Ἑζεκίας Ἑζεκίας Ἑζεκίας Ἑζεκίας
010110 C- -------- CONJ δὲ δὲ δέ δέ
010110 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010110 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010110 N- ----ASM- N-ASM Μανασσῆ, Μανασσῆ Μανασσῆ Μανασσῆς
010110 N- ----NSM- N-NSM Μανασσῆς Μανασσῆς Μανασσῆς Μανασσῆς
010110 C- -------- CONJ δὲ δὲ δέ δέ
010110 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010110 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010110 N- ----ASM- N-PRI ⸂Ἀμώς, Ἀμώς Ἀμώς Ἀμώς
010110 N- ----NSM- N-PRI Ἀμὼς⸃ Ἀμὼς Ἀμώς Ἀμώς
010110 C- -------- CONJ δὲ δὲ δέ δέ
010110 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010110 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010110 N- ----ASM- N-ASM Ἰωσίαν, Ἰωσίαν Ἰωσίαν Ἰωσίας
010111 N- ----NSM- N-NSM Ἰωσίας Ἰωσίας Ἰωσίας Ἰωσίας
010111 C- -------- CONJ δὲ δὲ δέ δέ
010111 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010111 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010111 N- ----ASM- N-ASM Ἰεχονίαν Ἰεχονίαν Ἰεχονίαν Ἰεχονίας
010111 C- -------- CONJ καὶ καὶ καί καί
010111 RA ----APM- T-APM τοὺς τοὺς τούς ὁ
010111 N- ----APM- N-APM ἀδελφοὺς ἀδελφοὺς ἀδελφούς ἀδελφός
010111 RP ----GSM- P-GSM αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010111 P- -------- PREP ἐπὶ ἐπὶ ἐπί ἐπί
010111 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010111 N- ----GSF- N-GSF μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
010111 N- ----GSF- N-GSF Βαβυλῶνος. Βαβυλῶνος Βαβυλῶνος Βαβυλών
010112 P- -------- PREP Μετὰ Μετὰ μετά μετά
010112 C- -------- CONJ δὲ δὲ δέ δέ
010112 RA ----ASF- T-ASF τὴν τὴν τήν ὁ
010112 N- ----ASF- N-ASF μετοικεσίαν μετοικεσίαν μετοικεσίαν μετοικεσία
010112 N- ----GSF- N-GSF Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
010112 N- ----NSM- N-NSM Ἰεχονίας Ἰεχονίας Ἰεχονίας Ἰεχονίας
010112 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010112 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010112 N- ----ASM- N-PRI Σαλαθιήλ, Σαλαθιήλ Σαλαθιήλ Σαλαθιήλ
010112 N- ----NSM- N-PRI Σαλαθιὴλ Σαλαθιὴλ Σαλαθιήλ Σαλαθιήλ
010112 C- -------- CONJ δὲ δὲ δέ δέ
010112 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010112 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010112 N- ----ASM- N-PRI Ζοροβαβέλ, Ζοροβαβέλ Ζοροβαβέλ Ζοροβαβέλ
010113 N- ----NSM- N-PRI Ζοροβαβὲλ Ζοροβαβὲλ Ζοροβαβέλ Ζοροβαβέλ
010113 C- -------- CONJ δὲ δὲ δέ δέ
010113 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010113 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010113 N- ----ASM- N-PRI Ἀβιούδ, Ἀβιούδ Ἀβιούδ Ἀβιούδ
010113 N- ----NSM- N-PRI Ἀβιοὺδ Ἀβιοὺδ Ἀβιούδ Ἀβιούδ
010113 C- -------- CONJ δὲ δὲ δέ δέ
010113 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010113 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010113 N- ----ASM- N-PRI Ἐλιακίμ, Ἐλιακίμ Ἐλιακίμ Ἐλιακίμ
010113 N- ----NSM- N-PRI Ἐλιακὶμ Ἐλιακὶμ Ἐλιακίμ Ἐλιακίμ
010113 C- -------- CONJ δὲ δὲ δέ δέ
010113 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010113 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010113 N- ----ASM- N-PRI Ἀζώρ, Ἀζώρ Ἀζώρ Ἀζώρ
010114 N- ----NSM- N-PRI Ἀζὼρ Ἀζὼρ Ἀζώρ Ἀζώρ
010114 C- -------- CONJ δὲ δὲ δέ δέ
010114 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010114 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010114 N- ----ASM- N-PRI Σαδώκ, Σαδώκ Σαδώκ Σαδώκ
010114 N- ----NSM- N-PRI Σαδὼκ Σαδὼκ Σαδώκ Σαδώκ
010114 C- -------- CONJ δὲ δὲ δέ δέ
010114 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010114 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010114 N- ----ASM- N-PRI Ἀχίμ, Ἀχίμ Ἀχίμ Ἀχίμ
010114 N- ----NSM- N-PRI Ἀχὶμ Ἀχὶμ Ἀχίμ Ἀχίμ
010114 C- -------- CONJ δὲ δὲ δέ δέ
010114 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010114 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010114 N- ----ASM- N-PRI Ἐλιούδ, Ἐλιούδ Ἐλιούδ Ἐλιούδ
010115 N- ----NSM- N-PRI Ἐλιοὺδ Ἐλιοὺδ Ἐλιούδ Ἐλιούδ
010115 C- -------- CONJ δὲ δὲ δέ δέ
010115 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010115 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010115 N- ----ASM- N-PRI Ἐλεάζαρ, Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ
010115 N- ----NSM- N-PRI Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ
010115 C- -------- CONJ δὲ δὲ δέ δέ
010115 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010115 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010115 N- ----ASM- N-PRI Ματθάν, Ματθάν Ματθάν Ματθάν
010115 N- ----NSM- N-PRI Ματθὰν Ματθὰν Ματθάν Ματθάν
010115 C- -------- CONJ δὲ δὲ δέ δέ
010115 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010115 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010115 N- ----ASM- N-PRI Ἰακώβ, Ἰακώβ Ἰακώβ Ἰακώβ
010116 N- ----NSM- N-PRI Ἰακὼβ Ἰακὼβ Ἰακώβ Ἰακώβ
010116 C- -------- CONJ δὲ δὲ δέ δέ
010116 V- 3AAI-S-- V-AAI-3S ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010116 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010116 N- ----ASM- N-PRI Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
010116 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
010116 N- ----ASM- N-ASM ἄνδρα ἄνδρα ἄνδρα ἀνήρ
010116 N- ----GSF- N-GSF Μαρίας, Μαρίας Μαρίας Μαρία
010116 P- -------- PREP ἐξ ἐξ ἐκ ἐκ
010116 RR ----GSF- R-GSF ἧς ἧς ἧς ὅς
010116 V- 3API-S-- V-API-3S ἐγεννήθη ἐγεννήθη ἐγεννήθη γεννάω
010116 N- ----NSM- N-NSM Ἰησοῦς Ἰησοῦς Ἰησοῦς Ἰησοῦς
010116 RA ----NSM- T-NSM ὁ ὁ ὁ ὁ
010116 V- -PPPNSM- V-PPP-NSM λεγόμενος λεγόμενος λεγόμενος λέγω
010116 N- ----NSM- N-NSM χριστός. χριστός Χριστός Χριστός
010117 A- ----NPF- A-NPF Πᾶσαι Πᾶσαι πᾶσαι πᾶς
010117 C- -------- CONJ οὖν οὖν οὖν οὖν
010117 RA ----NPF- T-NPF αἱ αἱ αἱ ὁ
010117 N- ----NPF- N-NPF γενεαὶ γενεαὶ γενεαί γενεά
010117 P- -------- PREP ἀπὸ ἀπὸ ἀπό ἀπό
010117 N- ----GSM- N-PRI Ἀβραὰμ Ἀβραὰμ Ἀβραάμ Ἀβραάμ
010117 P- -------- ADV ἕως ἕως ἕως ἕως
010117 N- ----GSM- N-PRI Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010117 N- ----NPF- N-NPF γενεαὶ γενεαὶ γενεαί γενεά
010117 A- ----NPF- A-NPF δεκατέσσαρες, δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010117 C- -------- CONJ καὶ καὶ καί καί
010117 P- -------- PREP ἀπὸ ἀπὸ ἀπό ἀπό
010117 N- ----GSM- N-PRI Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010117 P- -------- ADV ἕως ἕως ἕως ἕως
010117 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010117 N- ----GSF- N-GSF μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
010117 N- ----GSF- N-GSF Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
010117 N- ----NPF- N-NPF γενεαὶ γενεαὶ γενεαί γενεά
010117 A- ----NPF- A-NPF δεκατέσσαρες, δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010117 C- -------- CONJ καὶ καὶ καί καί
010117 P- -------- PREP ἀπὸ ἀπὸ ἀπό ἀπό
010117 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010117 N- ----GSF- N-GSF μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
010117 N- ----GSF- N-GSF Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
010117 P- -------- ADV ἕως ἕως ἕως ἕως
010117 RA ----GSM- T-GSM τοῦ τοῦ τοῦ ὁ
010117 N- ----GSM- N-GSM χριστοῦ χριστοῦ Χριστοῦ Χριστός
010117 N- ----NPF- N-NPF γενεαὶ γενεαὶ γενεαί γενεά
010117 A- ----NPF- A-NPF δεκατέσσαρες. δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010118 RA ----GSM- T-GSM Τοῦ Τοῦ τοῦ ὁ
010118 C- -------- CONJ δὲ δὲ δέ δέ
