230101 RR ----NSN- R-ASN@ Ὃ Ὃ ὅ ὅς
230101 V- 3IAI-S-- V-IAI-3S ἦν ἦν ἦν εἰμί
230101 P- -------- PREP ἀπ’ ἀπ’ ἀπό ἀπό
230101 N- ----GSF- N-GSF ἀρχῆς, ἀρχῆς ἀρχῆς ἀρχή
230101 RR ----ASN- R-ASN ὃ ὃ ὅ ὅς
230101 V- 1XAI-P-- V-2RAI-1P-ATT ἀκηκόαμεν, ἀκηκόαμεν ἀκηκόαμεν ἀκούω
230101 RR ----ASN- R-ASN ὃ ὃ ὅ ὅς
230101 V- 1XAI-P-- V-RAI-1P-ATT ἑωράκαμεν ἑωράκαμεν ἑωράκαμεν ὁράω
230101 RA ----DPM- T-DPM τοῖς τοῖς τοῖς ὁ
230101 N- ----DPM- N-DPM ὀφθαλμοῖς ὀφθαλμοῖς ὀφθαλμοῖς ὀφθαλμός
230101 RP ----GP-- P-1GP ἡμῶν, ἡμῶν ἡμῶν ἐγώ
230101 RR ----ASN- R-ASN ὃ ὃ ὅ ὅς
230101 V- 1AMI-P-- V-ADI-1P ἐθεασάμεθα ἐθεασάμεθα ἐθεασάμεθα θεάομαι
230101 C- -------- CONJ καὶ καὶ καί καί
230101 RA ----NPF- T-NPF αἱ αἱ αἱ ὁ
230101 N- ----NPF- N-NPF χεῖρες χεῖρες χεῖρες χείρ
230101 RP ----GP-- P-1GP ἡμῶν ἡμῶν ἡμῶν ἐγώ
230101 V- 3AAI-P-- V-AAI-3P ἐψηλάφησαν, ἐψηλάφησαν ἐψηλάφησαν ψηλαφάω
230101 P- -------- PREP περὶ περὶ περί περί
230101 RA ----GSM- T-GSM τοῦ τοῦ τοῦ ὁ
230101 N- ----GSM- N-GSM λόγου λόγου λόγου λόγος
230101 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
230101 N- ----GSF- N-GSF ζωῆς— ζωῆς ζωῆς ζωή
230102 C- -------- CONJ καὶ καὶ καί καί
230102 RA ----NSF- T-NSF ἡ ἡ ἡ ὁ
230102 N- ----NSF- N-NSF ζωὴ ζωὴ ζωή ζωή
230102 V- 3API-S-- V-API-3S ἐφανερώθη, ἐφανερώθη ἐφανερώθη φανερόω
230102 C- -------- CONJ καὶ καὶ καί καί
230102 V- 1XAI-P-- V-RAI-1P-ATT ἑωράκαμεν ἑωράκαμεν ἑωράκαμεν ὁράω
230102 C- -------- CONJ καὶ καὶ καί καί
230102 V- 1PAI-P-- V-PAI-1P μαρτυροῦμεν μαρτυροῦμεν μαρτυροῦμεν μαρτυρέω
230102 C- -------- CONJ καὶ καὶ καί καί
230102 V- 1PAI-P-- V-PAI-1P ἀπαγγέλλομεν ἀπαγγέλλομεν ἀπαγγέλλομεν ἀπαγγέλλω
230102 RP ----DP-- P-2DP ὑμῖν ὑμῖν ὑμῖν σύ
230102 RA ----ASF- T-ASF τὴν τὴν τήν ὁ
230102 N- ----ASF- N-ASF ζωὴν ζωὴν ζωήν ζωή
230102 RA ----ASF- T-ASF τὴν τὴν τήν ὁ
230102 A- ----ASF- A-ASF αἰώνιον αἰώνιον αἰώνιον αἰώνιος
230102 RR ----NSF- R-NSF ἥτις ἥτις ἥτις ὅστις
230102 V- 3IAI-S-- V-IAI-3S ἦν ἦν ἦν εἰμί
230102 P- -------- PREP πρὸς πρὸς πρός πρός
230102 RA ----ASM- T-ASM τὸν τὸν τόν ὁ
230102 N- ----ASM- N-ASM πατέρα πατέρα πατέρα πατήρ
230102 C- -------- CONJ καὶ καὶ καί καί
230102 V- 3API-S-- V-API-3S ἐφανερώθη ἐφανερώθη ἐφανερώθη φανερόω
230102 RP ----DP-- P-1DP ἡμῖν— ἡμῖν ἡμῖν ἐγώ
230103 RR ----ASN- R-ASN ὃ ὃ ὅ ὅς
230103 V- 1XAI-P-- V-RAI-1P-ATT ἑωράκαμεν ἑωράκαμεν ἑωράκαμεν ὁράω
230103 C- -------- CONJ καὶ καὶ καί καί
230103 V- 1XAI-P-- V-2RAI-1P-ATT ἀκηκόαμεν ἀκηκόαμεν ἀκηκόαμεν ἀκούω
230103 V- 1PAI-P-- V-PAI-1P ἀπαγγέλλομεν ἀπαγγέλλομεν ἀπαγγέλλομεν ἀπαγγέλλω
230103 D- -------- CONJ ⸀καὶ καὶ καί καί
230103 RP ----DP-- P-2DP ὑμῖν, ὑμῖν ὑμῖν σύ
230103 C- -------- CONJ ἵνα ἵνα ἵνα ἵνα
230103 D- -------- CONJ καὶ καὶ καί καί
230103 RP ----NP-- P-2NP ὑμεῖς ὑμεῖς ὑμεῖς σύ
230103 N- ----ASF- N-ASF κοινωνίαν κοινωνίαν κοινωνίαν κοινωνία
230103 V- 2PAS-P-- V-PAS-2P ἔχητε ἔχητε ἔχητε ἔχω
230103 P- -------- PREP μεθ’ μεθ’ μετά μετά
230103 RP ----GP-- P-1GP ἡμῶν· ἡμῶν ἡμῶν ἐγώ
230103 D- -------- CONJ καὶ καὶ καί καί
230103 RA ----NSF- T-NSF ἡ ἡ ἡ ὁ
230103 N- ----NSF- N-NSF κοινωνία κοινωνία κοινωνία κοινωνία
230103 C- -------- CONJ δὲ δὲ δέ δέ
230103 RA ----NSF- T-NSF ἡ ἡ ἡ ὁ
230103 A- ----NSF- S-1PNSF ἡμετέρα ἡμετέρα ἡμετέρα ἡμέτερος
230103 P- -------- PREP μετὰ μετὰ μετά μετά
230103 RA ----GSM- T-GSM τοῦ τοῦ τοῦ ὁ
230103 N- ----GSM- N-GSM πατρὸς πατρὸς πατρός πατήρ
230103 C- -------- CONJ καὶ καὶ καί καί
230103 P- -------- PREP μετὰ μετὰ μετά μετά
230103 RA ----GSM- T-GSM τοῦ τοῦ τοῦ ὁ
230103 N- ----GSM- N-GSM υἱοῦ υἱοῦ υἱοῦ υἱός
230103 RP ----GSM- P-GSM αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
230103 N- ----GSM- N-GSM Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
230103 N- ----GSM- N-GSM Χριστοῦ· Χριστοῦ Χριστοῦ Χριστός
230104 C- -------- CONJ καὶ καὶ καί καί
230104 RD ----APN- D-APN ταῦτα ταῦτα ταῦτα οὗτος
230104 V- 1PAI-P-- V-PAI-1P γράφομεν γράφομεν γράφομεν γράφω
230104 RP ----NP-- P-1NP ⸀ἡμεῖς ἡμεῖς ἡμεῖς ἐγώ
230104 C- -------- CONJ ἵνα ἵνα ἵνα ἵνα
230104 RA ----NSF- T-NSF ἡ ἡ ἡ ὁ
230104 N- ----NSF- N-NSF χαρὰ χαρὰ χαρά χαρά
230104 RP ----GP-- P-1GP ἡμῶν ἡμῶν ἡμῶν ἐγώ
230104 V- 3PAS-S-- V-PAS-3S ᾖ ᾖ ᾖ εἰμί
230104 V- -XPPNSF- V-RPP-NSF πεπληρωμένη. πεπληρωμένη πεπληρωμένη πληρόω
230105 C- -------- CONJ Καὶ Καὶ καί καί
230105 V- 3PAI-S-- V-PAI-3S ἔστιν ἔστιν ἐστί(ν) εἰμί
230105 RD ----NSF- D-NSF αὕτη αὕτη αὕτη οὗτος
230105 RA ----NSF- T-NSF ἡ ἡ ἡ ὁ
230105 N- ----NSF- N-NSF ἀγγελία ἀγγελία ἀγγελία ἀγγελία
230105 RR ----ASF- R-ASF ἣν ἣν ἥν ὅς
230105 V- 1XAI-P-- V-2RAI-1P-ATT ἀκηκόαμεν ἀκηκόαμεν ἀκηκόαμεν ἀκούω
230105 P- -------- PREP ἀπ’ ἀπ’ ἀπό ἀπό
230105 RP ----GSM- P-GSM αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
230105 C- -------- CONJ καὶ καὶ καί καί
230105 V- 1PAI-P-- V-PAI-1P ἀναγγέλλομεν ἀναγγέλλομεν ἀναγγέλλομεν ἀναγγέλλω
230105 RP ----DP-- P-2DP ὑμῖν, ὑμῖν ὑμῖν σύ
230105 D- -------- CONJ ὅτι ὅτι ὅτι ὅτι
230105 RA ----NSM- T-NSM ὁ ὁ ὁ ὁ
230105 N- ----NSM- N-NSM θεὸς θεὸς θεός θεός
230105 N- ----NSN- N-NSN φῶς φῶς φῶς φῶς
230105 V- 3PAI-S-- V-PAI-3S ἐστιν ἐστιν ἐστί(ν) εἰμί
230105 C- -------- CONJ καὶ καὶ καί καί
230105 N- ----NSF- N-NSF σκοτία σκοτία σκοτία σκοτία
230105 P- -------- PREP ⸂ἐν ἐν ἐν ἐν
230105 RP ----DSM- P-DSM αὐτῷ αὐτῷ αὐτῷ αὐτός
230105 D- -------- PRT-N οὐκ οὐκ οὐ οὐ
230105 V- 3PAI-S-- V-PAI-3S ἔστιν⸃ ἔστιν ἐστί(ν) εἰμί
230105 A- ----NSF- A-NSF-N οὐδεμία. οὐδεμία οὐδεμία οὐδείς
230106 C- -------- COND ἐὰν ἐὰν ἐάν ἐάν
230106 V- 1AAS-P-- V-2AAS-1P εἴπωμεν εἴπωμεν εἴπωμεν λέγω
230106 C- -------- CONJ ὅτι ὅτι ὅτι ὅτι
230106 N- ----ASF- N-ASF κοινωνίαν κοινωνίαν κοινωνίαν κοινωνία
230106 V- 1PAI-P-- V-PAI-1P ἔχομεν ἔχομεν ἔχομεν ἔχω
230106 P- -------- PREP μετ’ μετ’ μετά μετά
230106 RP ----GSM- P-GSM αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
230106 C- -------- CONJ καὶ καὶ καί καί
230106 P- -------- PREP ἐν ἐν ἐν ἐν
230106 RA ----DSN- T-DSN τῷ τῷ τῷ ὁ
230106 N- ----DSN- N-DSN σκότει σκότει σκότει σκότος
230106 V- 1PAS-P-- V-PAS-1P περιπατῶμεν, περιπατῶμεν περιπατῶμεν περιπατέω
230106 V- 1PMI-P-- V-PNI-1P ψευδόμεθα ψευδόμεθα ψευδόμεθα ψεύδομαι
230106 C- -------- CONJ καὶ καὶ καί καί
230106 D- -------- PRT-N οὐ οὐ οὐ οὐ
230106 V- 1PAI-P-- V-PAI-1P ποιοῦμεν ποιοῦμεν ποιοῦμεν ποιέω
230106 RA ----ASF- T-ASF τὴν τὴν τήν ὁ
