270101 N- ----NSF- ----NSF Ἀποκάλυψις Ἀποκάλυψις ἀποκάλυψις ἀποκάλυψις
270101 N- ----GSM- ----GSY Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
270101 N- ----GSM- ----GSY Χριστοῦ, Χριστοῦ Χριστοῦ Χριστός
270101 RR ----ASF- ----ASF ἣν ἣν ἥν ὅς
270101 V- 3AAI-S-- AAI3-S- ἔδωκεν ἔδωκεν ἔδωκε(ν) δίδωμι
270101 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
270101 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
270101 N- ----NSM- ----NSM θεὸς θεὸς θεός θεός
270101 V- -AAN---- AAN---- δεῖξαι δεῖξαι δεῖξαι δείκνυμι
270101 RA ----DPM- ----DPY τοῖς τοῖς τοῖς ὁ
270101 N- ----DPM- ----DPY δούλοις δούλοις δούλοις δοῦλος
270101 RP ----GSM- ----GSY αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
270101 RR ----APN- ----CPN ἃ ἃ ἅ ὅς
270101 V- 3PAI-S-- PAI3-S- δεῖ δεῖ δεῖ δέω
270101 V- -AMN---- PAI3-S- γενέσθαι γενέσθαι γενέσθαι γίνομαι
270101 P- -------- ------- ἐν ἐν ἐν ἐν
270101 N- ----DSN- ----DSY τάχει, τάχει τάχει τάχος
270101 C- -------- ------- καὶ καὶ καί καί
270101 V- 3AAI-S-- AAI3-S- ἐσήμανεν ἐσήμανεν ἐσήμανε(ν) σημαίνω
270101 V- -AAPNSM- AAP-NSM ἀποστείλας ἀποστείλας ἀποστείλας ἀποστέλλω
270101 P- -------- ------- διὰ διὰ διά διά
270101 RA ----GSM- ----GSY τοῦ τοῦ τοῦ ὁ
270101 N- ----GSM- ----GSY ἀγγέλου ἀγγέλου ἀγγέλου ἄγγελος
270101 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
